# E(GeV)    P2          V2          E2          Pmumu          Pmue          Pmutau
0.545000   0.632622   0.022023   0.345354   0.011136   0.089920   0.898945
0.550000   0.611636   0.036973   0.351391   0.018842   0.088008   0.893150
0.555000   0.580828   0.057688   0.361484   0.029728   0.085877   0.884395
0.560000   0.541655   0.083307   0.375039   0.043550   0.083553   0.872897
0.565000   0.495699   0.112906   0.391395   0.060060   0.081062   0.858878
0.570000   0.444603   0.145535   0.409862   0.079010   0.078430   0.842560
0.575000   0.390019   0.180244   0.429737   0.100152   0.075680   0.824167
0.580000   0.333559   0.216111   0.450330   0.123245   0.072837   0.803919
0.585000   0.276757   0.252262   0.470981   0.148050   0.069920   0.782030
0.590000   0.221036   0.287887   0.491076   0.174337   0.066952   0.758711
0.595000   0.167688   0.322256   0.510056   0.201886   0.063951   0.734164
0.600000   0.117853   0.354721   0.527427   0.230482   0.060934   0.708584
0.605000   0.072508   0.384728   0.542764   0.259925   0.057918   0.682157
0.610000   0.032465   0.411819   0.555716   0.290023   0.054917   0.655060
0.615000   -0.001631   0.435627   0.566005   0.320594   0.051947   0.627460
0.620000   -0.029301   0.455877   0.573424   0.351468   0.049018   0.599514
0.625000   -0.050220   0.472382   0.577839   0.382488   0.046142   0.571370
0.630000   -0.064215   0.485038   0.579177   0.413506   0.043329   0.543165
0.635000   -0.071244   0.493814   0.577430   0.444386   0.040588   0.515026
0.640000   -0.071391   0.498750   0.572641   0.475002   0.037926   0.487071
0.645000   -0.064851   0.499945   0.564906   0.505241   0.035350   0.459408
0.650000   -0.051911   0.497550   0.554361   0.534998   0.032866   0.432135
0.655000   -0.032942   0.491762   0.541180   0.564179   0.030479   0.405342
0.660000   -0.008380   0.482814   0.525566   0.592699   0.028192   0.379109
0.665000   0.021286   0.470968   0.507746   0.620482   0.026010   0.353508
0.670000   0.055523   0.456510   0.487968   0.647462   0.023933   0.328605
0.675000   0.093772   0.439739   0.466488   0.673581   0.021964   0.304455
0.680000   0.135457   0.420968   0.443575   0.698787   0.020105   0.281108
0.685000   0.179993   0.400509   0.419498   0.723036   0.018356   0.258607
0.690000   0.226796   0.378678   0.394525   0.746294   0.016717   0.236989
0.695000   0.275293   0.355784   0.368923   0.768529   0.015188   0.216283
0.700000   0.324925   0.332127   0.342949   0.789718   0.013768   0.196514
0.705000   0.375156   0.307995   0.316849   0.809843   0.012455   0.177702
0.710000   0.425478   0.283664   0.290858   0.828889   0.011250   0.159862
0.715000   0.475410   0.259392   0.265198   0.846848   0.010149   0.143003
0.720000   0.524508   0.235419   0.240073   0.863718   0.009151   0.127132
0.725000   0.572363   0.211966   0.215671   0.879496   0.008253   0.112251
0.730000   0.618602   0.189232   0.192165   0.894187   0.007454   0.098358
0.735000   0.662892   0.167400   0.169708   0.907799   0.006751   0.085450
0.740000   0.704937   0.146628   0.148434   0.920340   0.006141   0.073519
0.745000   0.744481   0.127057   0.128463   0.931824   0.005620   0.062556
0.750000   0.781303   0.108803   0.109894   0.942265   0.005188   0.052547
0.755000   0.815221   0.091968   0.092810   0.951681   0.004839   0.043480
0.760000   0.846089   0.076632   0.077279   0.960091   0.004572   0.035337
0.765000   0.873792   0.062858   0.063350   0.967516   0.004382   0.028102
0.770000   0.898249   0.050690   0.051061   0.973978   0.004268   0.021754
0.775000   0.919409   0.040158   0.040433   0.979501   0.004226   0.016273
0.780000   0.937247   0.031277   0.031475   0.984109   0.004253   0.011638
0.785000   0.951768   0.024048   0.024184   0.987828   0.004346   0.007827
0.790000   0.962996   0.018459   0.018545   0.990684   0.004501   0.004815
0.795000   0.970981   0.014485   0.014534   0.992704   0.004716   0.002580
0.800000   0.975790   0.012094   0.012116   0.993916   0.004988   0.001096
