# E(GeV)    P2          V2          E2          Pmumu          Pmue          Pmutau
0.545000   0.699631   0.038763   0.261606   0.019772   0.060578   0.919649
0.550000   0.711295   0.032541   0.256164   0.016544   0.060578   0.922878
0.555000   0.721303   0.027255   0.251443   0.013818   0.060550   0.925632
0.560000   0.729701   0.022876   0.247423   0.011572   0.060497   0.927931
0.565000   0.736540   0.019375   0.244085   0.009783   0.060419   0.929798
0.570000   0.741876   0.016718   0.241406   0.008430   0.060319   0.931251
0.575000   0.745765   0.014873   0.239362   0.007493   0.060197   0.932310
0.580000   0.748269   0.013804   0.237928   0.006950   0.060055   0.932995
0.585000   0.749448   0.013475   0.237077   0.006783   0.059894   0.933322
0.590000   0.749366   0.013851   0.236783   0.006974   0.059715   0.933310
0.595000   0.748086   0.014895   0.237018   0.007504   0.059520   0.932976
0.600000   0.745673   0.016572   0.237756   0.008356   0.059309   0.932335
0.605000   0.742189   0.018844   0.238967   0.009513   0.059084   0.931404
0.610000   0.737697   0.021678   0.240625   0.010959   0.058844   0.930197
0.615000   0.732261   0.025037   0.242703   0.012679   0.058592   0.928728
0.620000   0.725940   0.028887   0.245173   0.014659   0.058329   0.927013
0.625000   0.718794   0.033196   0.248010   0.016883   0.058054   0.925063
0.630000   0.710883   0.037929   0.251187   0.019339   0.057769   0.922892
0.635000   0.702263   0.043056   0.254681   0.022013   0.057475   0.920513
0.640000   0.692989   0.048546   0.258465   0.024893   0.057171   0.917936
0.645000   0.683113   0.054370   0.262517   0.027967   0.056860   0.915173
0.650000   0.672688   0.060498   0.266814   0.031224   0.056541   0.912235
0.655000   0.661764   0.066903   0.271334   0.034652   0.056216   0.909132
0.660000   0.650386   0.073558   0.276055   0.038242   0.055884   0.905874
0.665000   0.638602   0.080440   0.280958   0.041982   0.055547   0.902471
0.670000   0.626455   0.087523   0.286022   0.045865   0.055204   0.898931
0.675000   0.613985   0.094784   0.291231   0.049880   0.054857   0.895263
0.680000   0.601234   0.102202   0.296564   0.054019   0.054506   0.891475
0.685000   0.588238   0.109755   0.302007   0.058274   0.054151   0.887576
0.690000   0.575033   0.117425   0.307542   0.062636   0.053792   0.883572
0.695000   0.561654   0.125192   0.313155   0.067098   0.053431   0.879471
0.700000   0.548132   0.133038   0.318831   0.071653   0.053067   0.875280
0.705000   0.534497   0.140947   0.324556   0.076294   0.052700   0.871005
0.710000   0.520779   0.148903   0.330318   0.081015   0.052332   0.866653
0.715000   0.507004   0.156891   0.336105   0.085809   0.051962   0.862229
0.720000   0.493197   0.164898   0.341906   0.090670   0.051591   0.857739
0.725000   0.479382   0.172909   0.347709   0.095593   0.051219   0.853188
0.730000   0.465582   0.180914   0.353504   0.100572   0.050847   0.848582
0.735000   0.451817   0.188900   0.359283   0.105602   0.050473   0.843925
0.740000   0.438106   0.196857   0.365037   0.110678   0.050100   0.839222
0.745000   0.424468   0.204775   0.370757   0.115796   0.049726   0.834477
0.750000   0.410920   0.212644   0.376436   0.120951   0.049353   0.829696
0.755000   0.397476   0.220457   0.382067   0.126140   0.048980   0.824880
0.760000   0.384151   0.228205   0.387644   0.131357   0.048607   0.820036
0.765000   0.370959   0.235880   0.393160   0.136600   0.048236   0.815165
0.770000   0.357912   0.243477   0.398610   0.141864   0.047865   0.810271
0.775000   0.345021   0.250989   0.403990   0.147147   0.047495   0.805359
0.780000   0.332296   0.258410   0.409294   0.152444   0.047126   0.800430
0.785000   0.319746   0.265736   0.414518   0.157754   0.046758   0.795487
0.790000   0.307380   0.272960   0.419659   0.163073   0.046392   0.790535
0.795000   0.295206   0.280081   0.424713   0.168398   0.046028   0.785574
0.800000   0.283231   0.287092   0.429677   0.173727   0.045665   0.780608
0.805000   0.271460   0.293992   0.434549   0.179058   0.045304   0.775639
0.810000   0.259899   0.300777   0.439325   0.184387   0.044944   0.770669
0.815000   0.248553   0.307444   0.444004   0.189713   0.044587   0.765701
0.820000   0.237425   0.313991   0.448584   0.195034   0.044231   0.760735
0.825000   0.226521   0.320416   0.453063   0.200347   0.043878   0.755775
0.830000   0.215843   0.326718   0.457440   0.205651   0.043526   0.750822
0.835000   0.205392   0.332894   0.461713   0.210945   0.043177   0.745878
0.840000   0.195173   0.338944   0.465883   0.216226   0.042830   0.740944
0.845000   0.185185   0.344867   0.469948   0.221493   0.042485   0.736022
0.850000   0.175430   0.350662   0.473908   0.226744   0.042143   0.731113
0.855000   0.165910   0.356328   0.477761   0.231978   0.041803   0.726219
0.860000   0.156624   0.361866   0.481509   0.237194   0.041466   0.721340
0.865000   0.147574   0.367275   0.485152   0.242391   0.041131   0.716479
0.870000   0.138757   0.372555   0.488688   0.247567   0.040798   0.711635
0.875000   0.130175   0.377706   0.492119   0.252721   0.040468   0.706811
0.880000   0.121826   0.382729   0.495444   0.257853   0.040140   0.702007
0.885000   0.113710   0.387625   0.498666   0.262961   0.039815   0.697224
0.890000   0.105824   0.392393   0.501783   0.268044   0.039493   0.692463
0.895000   0.098169   0.397035   0.504796   0.273103   0.039173   0.687724
0.900000   0.090741   0.401552   0.507707   0.278135   0.038856   0.683009
0.905000   0.083540   0.405944   0.510517   0.283140   0.038541   0.678319
0.910000   0.076563   0.410212   0.513225   0.288118   0.038229   0.673653
0.915000   0.069808   0.414358   0.515834   0.293068   0.037920   0.669012
0.920000   0.063273   0.418383   0.518344   0.297989   0.037613   0.664397
0.925000   0.056955   0.422289   0.520757   0.302881   0.037309   0.659809
0.930000   0.050852   0.426075   0.523073   0.307744   0.037008   0.655248
0.935000   0.044962   0.429745   0.525294   0.312577   0.036709   0.650714
0.940000   0.039281   0.433299   0.527421   0.317379   0.036413   0.646208
0.945000   0.033806   0.436739   0.529455   0.322150   0.036120   0.641731
0.950000   0.028536   0.440066   0.531398   0.326890   0.035829   0.637281
0.955000   0.023467   0.443282   0.533251   0.331599   0.035541   0.632861
0.960000   0.018596   0.446389   0.535015   0.336276   0.035255   0.628469
0.965000   0.013919   0.449388   0.536693   0.340921   0.034972   0.624107
0.970000   0.009435   0.452280   0.538284   0.345534   0.034692   0.619774
0.975000   0.005140   0.455069   0.539792   0.350114   0.034414   0.615472
0.980000   0.001030   0.457754   0.541216   0.354663   0.034139   0.611199
0.985000   -0.002898   0.460338   0.542559   0.359178   0.033866   0.606956
0.990000   -0.006646   0.462823   0.543823   0.363661   0.033596   0.602743
0.995000   -0.010218   0.465210   0.545007   0.368111   0.033329   0.598561
1.000000   -0.013617   0.467502   0.546115   0.372528   0.033064   0.594409
1.005000   -0.016846   0.469699   0.547147   0.376912   0.032801   0.590287
1.010000   -0.019908   0.471803   0.548105   0.381263   0.032541   0.586196
1.015000   -0.022807   0.473817   0.548991   0.385581   0.032284   0.582135
1.020000   -0.025546   0.475741   0.549805   0.389866   0.032029   0.578105
1.025000   -0.028128   0.477578   0.550550   0.394118   0.031776   0.574105
1.030000   -0.030556   0.479329   0.551226   0.398337   0.031526   0.570136
1.035000   -0.032833   0.480997   0.551836   0.402524   0.031278   0.566198
1.040000   -0.034962   0.482582   0.552380   0.406677   0.031033   0.562290
1.045000   -0.036946   0.484086   0.552860   0.410798   0.030790   0.558412
1.050000   -0.038789   0.485511   0.553278   0.414885   0.030550   0.554565
1.055000   -0.040494   0.486859   0.553635   0.418941   0.030312   0.550748
1.060000   -0.042062   0.488131   0.553931   0.422963   0.030076   0.546961
1.065000   -0.043498   0.489328   0.554170   0.426954   0.029842   0.543204
1.070000   -0.044805   0.490454   0.554351   0.430912   0.029611   0.539478
1.075000   -0.045984   0.491508   0.554476   0.434837   0.029382   0.535781
1.080000   -0.047040   0.492492   0.554547   0.438731   0.029155   0.532114
1.085000   -0.047974   0.493409   0.554565   0.442593   0.028930   0.528476
1.090000   -0.048790   0.494259   0.554531   0.446423   0.028708   0.524869
1.095000   -0.049490   0.495044   0.554446   0.450222   0.028488   0.521290
1.100000   -0.050078   0.495766   0.554312   0.453989   0.028270   0.517741
1.105000   -0.050555   0.496426   0.554129   0.457725   0.028054   0.514221
1.110000   -0.050925   0.497025   0.553900   0.461430   0.027840   0.510730
1.115000   -0.051189   0.497565   0.553625   0.465104   0.027629   0.507267
1.120000   -0.051352   0.498047   0.553305   0.468747   0.027419   0.503834
1.125000   -0.051414   0.498472   0.552942   0.472360   0.027212   0.500429
1.130000   -0.051379   0.498842   0.552536   0.475942   0.027006   0.497052
1.135000   -0.051248   0.499159   0.552089   0.479494   0.026803   0.493703
1.140000   -0.051025   0.499423   0.551602   0.483017   0.026601   0.490382
1.145000   -0.050712   0.499636   0.551076   0.486509   0.026402   0.487089
1.150000   -0.050311   0.499799   0.550512   0.489972   0.026204   0.483823
1.155000   -0.049824   0.499913   0.549911   0.493406   0.026009   0.480585
1.160000   -0.049253   0.499980   0.549274   0.496811   0.025815   0.477374
1.165000   -0.048602   0.500000   0.548602   0.500186   0.025624   0.474190
1.170000   -0.047871   0.499975   0.547895   0.503533   0.025434   0.471033
1.175000   -0.047062   0.499906   0.547156   0.506852   0.025246   0.467903
1.180000   -0.046179   0.499794   0.546385   0.510142   0.025060   0.464799
1.185000   -0.045223   0.499641   0.545582   0.513404   0.024875   0.461721
1.190000   -0.044196   0.499446   0.544750   0.516638   0.024693   0.458669
1.195000   -0.043100   0.499212   0.543888   0.519845   0.024512   0.455643
1.200000   -0.041937   0.498940   0.542997   0.523024   0.024333   0.452643
1.205000   -0.040708   0.498630   0.542078   0.526176   0.024156   0.449668
1.210000   -0.039416   0.498283   0.541133   0.529301   0.023981   0.446718
1.215000   -0.038062   0.497901   0.540162   0.532400   0.023807   0.443793
1.220000   -0.036649   0.497484   0.539165   0.535472   0.023635   0.440894
1.225000   -0.035177   0.497033   0.538144   0.538517   0.023464   0.438018
1.230000   -0.033649   0.496549   0.537099   0.541537   0.023296   0.435168
1.235000   -0.032066   0.496034   0.536032   0.544531   0.023129   0.432341
1.240000   -0.030430   0.495488   0.534942   0.547499   0.022963   0.429538
1.245000   -0.028742   0.494911   0.533831   0.550441   0.022799   0.426759
1.250000   -0.027004   0.494306   0.532698   0.553359   0.022637   0.424004
1.255000   -0.025218   0.493672   0.531546   0.556251   0.022476   0.421272
1.260000   -0.023384   0.493010   0.530374   0.559119   0.022317   0.418564
1.265000   -0.021505   0.492321   0.529184   0.561962   0.022160   0.415878
1.270000   -0.019582   0.491607   0.527975   0.564781   0.022003   0.413215
1.275000   -0.017616   0.490867   0.526749   0.567576   0.021849   0.410575
1.280000   -0.015609   0.490103   0.525506   0.570347   0.021696   0.407957
1.285000   -0.013561   0.489314   0.524247   0.573094   0.021544   0.405362
1.290000   -0.011475   0.488503   0.522972   0.575818   0.021394   0.402788
1.295000   -0.009351   0.487670   0.521682   0.578519   0.021245   0.400236
1.300000   -0.007191   0.486814   0.520377   0.581197   0.021098   0.397706
1.305000   -0.004996   0.485938   0.519058   0.583851   0.020952   0.395197
1.310000   -0.002767   0.485041   0.517726   0.586484   0.020807   0.392709
1.315000   -0.000505   0.484125   0.516381   0.589093   0.020664   0.390243
1.320000   0.001788   0.483189   0.515023   0.591681   0.020522   0.387797
1.325000   0.004112   0.482235   0.513653   0.594247   0.020382   0.385371
1.330000   0.006465   0.481263   0.512272   0.596791   0.020243   0.382967
1.335000   0.008846   0.480274   0.510880   0.599313   0.020105   0.380582
1.340000   0.011255   0.479268   0.509477   0.601814   0.019968   0.378218
1.345000   0.013690   0.478246   0.508064   0.604294   0.019833   0.375873
1.350000   0.016151   0.477208   0.506642   0.606753   0.019699   0.373548
1.355000   0.018636   0.476155   0.505210   0.609191   0.019566   0.371243
1.360000   0.021144   0.475087   0.503769   0.611609   0.019435   0.368957
1.365000   0.023674   0.474005   0.502320   0.614006   0.019304   0.366690
1.370000   0.026227   0.472910   0.500863   0.616383   0.019175   0.364442
1.375000   0.028800   0.471802   0.499399   0.618740   0.019047   0.362213
1.380000   0.031393   0.470681   0.497927   0.621077   0.018921   0.360002
1.385000   0.034004   0.469548   0.496448   0.623395   0.018795   0.357810
1.390000   0.036635   0.468403   0.494963   0.625693   0.018671   0.355636
1.395000   0.039282   0.467246   0.493471   0.627972   0.018548   0.353480
1.400000   0.041946   0.466079   0.491974   0.630232   0.018426   0.351343
1.405000   0.044627   0.464902   0.490471   0.632473   0.018305   0.349222
1.410000   0.047322   0.463714   0.488964   0.634695   0.018185   0.347120
1.415000   0.050032   0.462517   0.487451   0.636899   0.018066   0.345035
1.420000   0.052755   0.461311   0.485934   0.639085   0.017948   0.342967
1.425000   0.055492   0.460096   0.484412   0.641252   0.017832   0.340916
1.430000   0.058241   0.458872   0.482887   0.643402   0.017716   0.338882
1.435000   0.061002   0.457640   0.481358   0.645534   0.017602   0.336865
1.440000   0.063774   0.456400   0.479825   0.647648   0.017489   0.334864
1.445000   0.066557   0.455153   0.478290   0.649744   0.017376   0.332880
